SHID,Address,City,State,County,ZIPCode
322,4232 Charlotte Hwy (Lake Wylie),Lake Wylie,South Carolina,York,
323,1000 Technology Blvd. (Indian Trail),Indian Trail,North Carolina,Union,28079
324,1025 Aspinal Street (same parcel as SM102),Waxhaw,North Carolina,Union,
325,6231 N. Tryon Street (Car Wash) (Tract 2),Charlotte,North Carolina,Mecklenburg,28213
327,920 N. Wesleyan Blvd.,Rocky Mount,North Carolina,Nash,
329,4965 University Parkway,Winston Salem,North Carolina,Forsyth,27101
330,N. Bailey Bridge Road,Midlothian,Virginia,Chesterfield,23112
331,3264 Holland Road,Virginia Beach,Virginia,City of Virginia Beach,23453
333,2811 & 2815 Jones Franklin Road,Cary,North Carolina,Wake,27606
334,8182 Charlotte Highway,Indian Land,South Carolina,Lancaster,29707
335,Bypass Road,Williamsburg,Virginia,York,
336,1528 & 1532 N. Main Street,Fuquay-Varina,North Carolina,Wake,
337,Raleigh Road,Wilson,North Carolina,Wilson,
339,Carolina Lily,Charlotte,North Carolina,Mecklenburg,
340,2700 South Horner Boulevard,Sanford,North Carolina,Lee,
341,700 Firetower Road,Greenville,South Carolina,Pitt,28590
342,11301 Ironbridge Road,Chester,Virginia,Chesterfield,
343,Cherry Road,Rock Hill,South Carolina,York,
344,Chapel Hill Road & Green Drive,Morrisville,North Carolina,Wake,
345,Albemarle Road,Mint Hill,North Carolina,Mecklenburg,
504,6185 Windward Pkwy,Alpharetta,Georgia,Fulton,30005
4321,2316 Dixie Forest Road,Raleigh,North Carolina,Wake,27615
4336,1520 N. Main Street,Fuquay-Varina,North Carolina,Wake,27526
4506,3325 Old Milton Pkwy,Alpharetta,Georgia,Fulton,30005
6008,3900 Corporation Circle,Charlotte,North Carolina,Mecklenburg,28216
6011,7730 Bruton Smith Boulevard,Concord,North Carolina,Cabarrus,28027
6065,13800 E. Independence Blvd.,Indian Trail,North Carolina,Union,28079
9141,"1784 Heritage Center Drive, Ste 204 B&C",Wake Forest,North Carolina,Wake,27587
